"network_db";"original_id";"reference";"citation";"doi";"study_common"
"mangal";"5029";NA;"Roopnarine2013";"10.7167/2013/857470";"Roopnarine2013"
"mangal";"5116";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5117";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5118";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5119";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5120";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5121";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5122";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5123";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5124";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5125";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5126";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5127";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5128";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5129";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5130";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5131";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5132";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5133";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5134";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5135";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5136";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5137";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5138";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5139";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5140";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5141";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5142";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5143";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5144";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5145";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5146";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5147";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5148";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5149";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5150";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5151";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5152";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5153";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5154";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5155";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5156";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5157";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5158";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5159";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5160";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5161";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5162";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5163";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5164";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5165";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5166";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5167";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5168";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5169";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5170";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5175";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5180";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5185";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5190";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5195";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5200";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5171";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5176";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5181";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5186";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5191";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5196";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5201";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5172";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5177";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5182";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5187";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5192";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5197";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5173";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5178";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5183";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5188";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5193";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5198";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5174";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5179";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5184";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5189";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5194";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"mangal";"5199";NA;"Paul CaraDonna2020";"10.1111/ele.12740";"Caradonna_2020"
"WOL";"M_PL_027";"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.";"Primack 1983";NA;"Primack 1983"
"WOL";"M_PL_021";"Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375.";"Kato et al 1990";NA;"kato1990"
"WOL";"M_PL_017";"Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.";"Memmott 1999";NA;"Memmott 1999"
"WOL";"M_PL_032";"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.";"Schemske et al 1978";NA;"Schemske1978"
"WOL";"M_SD_003";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003";NA;"Carlo_2003"
"WOL";"M_SD_015";"Kantak, G.E. 1979. Observations on some fruit-eating birds in Mexico. Auk, 96: 183-186.";"Kantak 1979";NA;"Kantak_1979"
"WOL";"M_PL_031";"Ramirez, N. (1989). BiologÃ­a de polinizaciÃ³n en una comunidad arbustiva tropical de la alta Guyana Venezolana. Biotropica 21, 319-330.";"Ramirez 1989";NA;"Ramirez1989"
"WOL";"M_PL_028";"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.";"Primack 1983";NA;"Primack 1983"
"WOL";"M_PL_004";"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.";"Barrett & Helenurm 1987";NA;"Barrett1987"
"WOL";"M_PL_034";"Smith-RamÃ­rez C., P. Martinez, M. NuÃ±ez, C. GonzÃ¡lez and J. J. Armesto (2005) Diversity, flower visitation frequency and generalism of pollinators in temperate rain forests of ChiloÃ© Island,Chile. Botanical Journal of the Linnean Society, 2005, 147, 399â€“416.";"Smith-RamÃ­rez et al 2005";NA;"Smith_2005"
"WOL";"M_SD_004";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003";NA;"Carlo_2003"
"WOL";"M_SD_005";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003";NA;"Carlo_2003"
"WOL";"M_PL_001";"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.";"Arroyo et al 1982";NA;"Arroyo et al 1982"
"WOL";"M_PL_002";"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.";"Arroyo et al 1982";NA;"Arroyo et al 1982"
"WOL";"M_PL_003";"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.";"Arroyo et al 1982";NA;"Arroyo et al 1982"
"WOL";"M_PL_029";"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.";"Primack 1983";NA;"Primack 1983"
"WOL";"M_SD_018";"Mack, AL and Wright, DD. (1996) Notes on occurrence and feeding of birds at Crater Mountain Biological Research Station, Papua New Guinea. Emu 96: 89-101. ";"Mack & Wright 1996";NA;"Mack & Wright 1996"
"WOL";"M_PL_015";"Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.";"Petanidou 1991";NA;"Petanidou 1991"
"WOL";"M_PL_016";"Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287.";"Herrera 1988";NA;"Herrera1988"
"WOL";"M_PL_036";"Olesen unpubl.";"Olesen unpublished";NA;"Olesen unpublished"
"WOL";"M_SD_006";"Carlo et al. (2003) Avian fruit preferences across a Puerto Rican forested landscape: pattern consistency and implications for seed removal. Oecologia 134: 119-131";"Carlo et al 2003";NA;"Carlo_2003"
"WOL";"M_SD_017";"Tutin, C.E.G., Ham, R.M., White, L.J.T., Harrison, M.J.S. 1997. The primate community of the LopÃ© Reserve, Gabon: diets, responses to fruit scarcity, and effects on biomass. American Journal of Primatology, 42: 1-24.";"Tutin et al 1997";NA;"Tutin1997"
"WOL";"M_PL_026";"McMullen, C. K. 1993. Flower-visiting insects of the Galapagos Islands. Pan-Pacific Entomologist 69:95-106";"MacMullen 1993";NA;"MacMullen 1993"
"WOL";"M_PL_012";"Olesen unpubl.";"Olesen unpublished";NA;"Olesen unpublished"
"WOL";"M_SD_011";"Snow, B. and Snow, D. (1988). Birds and berries, Calton, England.";"Snow & Snow 1988";NA;"Snow 1988"
"WOL";"M_PL_030";"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.";"Ramirez & Brito 1992";NA;"Ramirez1992"
"WOL";"M_SD_014";"Jordano P. (1985) El ciclo anual de los paseriformes frugÃ­voros en el matorral mediterrÃ¡neo del sur de EspaÃ±a: importancia de su invernada y variaciones interanuales. Ardeola, 32, 69-94.";"Jordano 1985";NA;"Jordano_1985"
"WOL";"M_PL_020";"Kevan P. G. 1970. High Arctic insect-flower relations: The interrelationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis, University of Alberta, Edmonton, 399 pp.";"Kevan 1970";NA;"kevan1970"
"WOL";"M_PL_014";"Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388.";"Hocking 1968";NA;"Hocking1968"
"WOL";"M_PL_018";"Olesen unpubl.";"Olesen unpublished";NA;"Olesen unpublished"
"WOL";"M_PL_006";"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plantâ€“insect flower visitor webs. J. Anim. Ecol. 71: 32â€“43.";"Dicks et al 2002";NA;"Dicks et al 2002"
"WOL";"M_SD_022";"Silva, W.R., P. De Marco, E. Hasui, and V.S.M. Gomes (2002) Patterns of fruit-frugivores interactions in two Atlantic Forest bird communities of South-eastern Brazil: implications for conservation. Pp. 423-435. In: D.J. Levey, W.R. Silva and M. Galetti (eds.) Seed dispersal and frugivory: ecology, evolution and conservation. Wallinford: CAB International.";"Silva et al 2002";NA;"Silva_2002"
"WOL";"M_PL_035";"Percival, M. (1974). Floral Ecology of Coastal Scrub in Southeast Jamaica. Biotropica, 6, 104-129.";"Percival 1974";NA;"Percival1974"
"WOL";"M_SD_016";"Lambert F. (1989). Fig-eating by birds in a Malaysian lowland rain forest. J. Trop. Ecol., 5, 401-412.";"Lambert 1989";NA;"Lambert1989"
"WOL";"M_PL_013";"Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834.";"Ollerton et al 2003";NA;"Ollerton2003"
"WOL";"M_PL_022";"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.";"Medan et all 2002";NA;"Medan et all 2002"
"WOL";"M_PL_009";"Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323.";"Elberling & Olesen 1999";NA;"eberling1999"
"WOL";"M_PL_011";"Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192.";"Olesen et al 2002";NA;"Olesen2002"
"WOL";"M_PL_024";"Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.";"Mosquin & Martin 1967";NA;"Mosquin1967"
"WOL";"M_SD_019";"Wheelwright, N.T., Haber, W.A., Murray, K.G., Guindon, C. 1984. Tropical fruit-eating birds and their food plants: a survey of a Costa Rican lower montane forest. Biotropica, 16: 173-192.";"Wheelwright et al 1984";NA;"Wheelwright_1984"
"WOL";"M_SD_002";"Beehler, B. 1983. Frugivory and polygamy in birds of paradise. Auk, 100: 1-12.";"Beehler 1983";NA;"Beehler1983"
"WOL";"M_SD_008";"Frost, P.G.H. 1980. Fruit-frugivore interactions in a South African coastal dune forest. Pages 1179-1184 in: R. Noring (ed.). Acta XVII Congresus Internationalis Ornithologici, Deutsches Ornithologische Gessenshaft, Berlin.";"Frost 1980";NA;"Frost1980"
"WOL";"M_SD_020";"P. Jordano, unpubl.";"Jordano unpublished";NA;"Jordano_1993"
"WOL";"M_SD_021";"P. Jordano, unpubl.";"Jordano unpublished";NA;"Jordano_1993"
"WOL";"M_PL_025";"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.";"Motten 1982";NA;"Motten1982"
"WOL";"FW_012";"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145â€“161";"Thompson and Townsend 2003";NA;"Thompson_2003"
"WOL";"FW_012_01";"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145â€“161";"Thompson and Townsend 2003";NA;"Thompson_2003"
"WOL";"FW_012_02";"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145â€“161";"Thompson and Townsend 2003";NA;"Thompson_2003"
"WOL";"M_SD_013";"Hammann, A. & Curio, B. (1999) Interactions among frugivores and fleshy fruit trees in a Philippine submontane rainforest.";"Hammann & Curio 1999";NA;"Hamann1999"
"WOL";"M_PL_033";"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.";"Small 1976";NA;"Small1976"
"WOL";"M_PL_005";"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.";"Clements & Long 1923";NA;"Clements1923"
"WOL";"M_SD_001";"Baird, J.W. 1980. The selection and use of fruit by birds in an eastern forest. Wilson Bulletin 92: 63-73.";"Baird 1980";NA;"Baird_1980"
"WOL";"M_PL_023";"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.";"Medan et all 2002";NA;"Medan et all 2002"
"WOL";"M_SD_009";"Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.";"Galetti & Pizo 1996";NA;"Galetti_1996"
"WOL";"M_SD_012";"Galetti, M., Pizo, M.A. 1996. Fruit eating birds in a forest fragment in southeastern Brazil. Ararajuba, Revista Brasileira de Ornitologia, 4: 71-79.";"Galetti & Pizo 1996";NA;"Galetti_1996"
"WOL";"M_PL_007";"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plantâ€“insect flower visitor webs. J. Anim. Ecol. 71: 32â€“43.";"Dicks et al 2002";NA;"Dicks et al 2002"
"WOL";"M_PL_019";"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210.";"Inouye & Pyke 1988";NA;"Inouye1988"
"WOL";"M_PL_008";"Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310.";"Dupont et al 2003";NA;"Dupont2003"
"WOL";"M_SD_007";"Crome, F.H.J. 1975. The ecology of fruit pigeons in tropical Northern Queensland. Australian Journal of Wildlife Research, 2: 155-185.";"Crome 1975";NA;"Crome1975"
"WOL";"M_SD_010";"Snow, B.K., Snow, D.W. 1971. The feeding ecology of tanagers and honeycreepers in Trinidad. Auk, 88: 291-322.";"Snow & Snow 1971";NA;"Snow & Snow 1971"
"WOL";"M_SD_023";"Noma, N. 1997. Annual fluctuations of sapfruits production and synchronization within and inter species in a warm temperate forest on Yakushima Island, Japan. Tropics, 6: 441-449.";"Noma 1997";NA;"Noma_1997"
"WOL";"M_PL_010";"Elberling & Olesen unpubl.";"Elberling & Olesen unpublished";NA;"elberlingNA"
"WOL";"M_PL_037";"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).";"Montero 2005";NA;"Montero 2005"
"WOL";"M_PL_038";"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).";"Montero 2005";NA;"Montero 2005"
"WOL";"M_PL_040";"Ingversen TT (2006). Plantâ€“pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks. Msc thesis (Univ of Aarhus, Aarhus, Denmark).";"Ingversen 2006";NA;"Ingversen2006"
"WOL";"M_PL_041";"Ingversen TT (2006) MSc thesis (Univ of Aarhus, Aarhus, Denmark). (MSc, 2006, Tanja Toftemark Ingversen, Plantâ€“pollinator interactions on Jamaica and Dominica: The centrality, asymmetry and modularity of networks)";"Ingversen 2006";NA;"Ingversen2006"
"WOL";"M_PL_042";"Philipp M, BÃ¶cher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., BÃ¶cher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the GalÃ¡pagos Islands. â€“ Ecography 29: 531â€“ 40.)";"Phillipp et al 2006";NA;"Philipp2006"
"WOL";"M_PL_043";"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).";"Montero 2005";NA;"Montero 2005"
"WOL";"M_PL_044";"Kato M (2000).Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contr Biol Lab Kyoto Univ 29:157-252.";"Kato 2000";NA;"Kato 2000"
"WOL";"M_PL_045";"Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520.";"Lundgren & Olesen 2005";NA;"Lundgren2005"
"WOL";"M_PL_050";"Stald, L., Valido, A. & Olesen, J. M. 2003. Struktur og dynamik i rum og tid at et bestÃ¸vningsnetvÃ¦rk pÃ¥ Tenerife, De Kanariske Ã˜er. MSc-thesis, Univ. of Aarhus, Denmark.";"Stald et al 2003";NA;"Stald 2003"
"WOL";"M_PL_039";"Stald L (2003). Struktur og dynamik i rum og tid af et bestÃ¸vningsnetvÃ¦rk pÃ¥ Tenerife, De Kanariske Ã˜er. Msc thesis (Univ of Aarhus, Aarhus, Denmark).";"Stald 2003";NA;"Stald 2003"
"WOL";"M_PL_051";"VÃ¡zquez DP. 2002. Interactions among Introduced Ungulates, Plants, and Pollinators: A Field Study in the Temperate Forest of the Southern Andes. Ph.D. Dissertation. Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville.";"VÃ¡zquez 2002";NA;"Vazquez_2002"
"WOL";"M_PL_053";"Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu, Western Japan. Contributions from the Biological Laboratory, Kyoto University 29: 255-318.";"Yamazaki & Kato 2003";NA;"Yamazaki2003"
"WOL";"M_PL_054";"Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521.";"Kakutani et al 1990";NA;"Kakutani1990"
"WOL";"M_PL_055";"Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48";"Kato & Miura 1996";NA;"Kato & Miura 1996"
"WOL";"M_PL_056";"Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Meadows at Mt. Kushigata in the Central Part of Japan. Contributions from the Biological Laboratory, Kyoto University 28: 119-172";"Kato et al 1993";NA;"Kato1993"
"WOL";"M_PL_057";"Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flowering Phenology and the Seasonal Pattern of Insect Visits.";"Inoue et al 1990";NA;"Inoue1990"
"WOL";"M_SD_024";"GuitiÃ¡n, J. (1983). Relaciones entre los frutos y los passeriformes en un bosque montano de la cordillera cantÃ¡brica occidental. PhD Thesis, Univ. Santiago, Spain.";"GuitiÃ¡n 1983";NA;"GuitiÃ¡n 1983"
"WOL";"M_SD_026";"Data unpublished, however see Jordano 1993";"Unpublished, see Jordano 1993";NA;"Jordano_1993"
"WOL";"M_SD_027";"Data unpublished, however see Jordano 1993";"Unpublished, see Jordano 1993";NA;"Jordano_1993"
"WOL";"M_SD_028";"Data unpublished, however see Jordano 1993";"Unpublished, see Jordano 1993";NA;"Jordano_1993"
"WOL";"M_SD_029";"Data unpublished, however see Jordano 1993";"Unpublished, see Jordano 1993";NA;"Jordano_1993"
"WOL";"M_SD_030";"Data unpublished, however see Jordano 1993";"Unpublished, see Jordano 1993";NA;"Jordano_1993"
"WOL";"M_PL_052";"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.";"Witt 1998";NA;"Witt1998"
"WOL";"M_PL_047";"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.";"Dupont & Olesen 2009";NA;"Dupont & Olesen 2009"
"WOL";"M_PL_048";"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.";"Dupont & Olesen 2009";NA;"Dupont & Olesen 2009"
"WOL";"M_PL_049";"Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark).";"Bek 2006";NA;"Bek 2006"
"WOL";"M_SD_025";"Sorensen, A. E. (1981). Interactions between birds and fruit in a temperate woodland. Oecologia 50: 242â€“249.";"Sorensen 1981";NA;"Sorensen_1981"
"WOL";"M_PL_046";"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestÃ¸vernetvÃ¦rk. Msc thesis. University of Aarhus. Aarhus, Denmark.";"Bundgaard 2003";NA;"Bundgaard 2003"
"WOL";"M_PL_058";"Bartomeus, I., VilÃ , M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770.";"Bartomeus et al 2008";NA;"bartomeus2008"
