study_orig;study_common
Kaiser-Bunbury_2010_060_15;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_16;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_17;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_18;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_19;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_20;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_21;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_22;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_23;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_24;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2014_061_01;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_02;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_03;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_04;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_05;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_06;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_07;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_08;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_09;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_10;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_11;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_12;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_13;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_14;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_15;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_16;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_17;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_18;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_19;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_20;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_21;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_22;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_23;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_24;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_25;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_26;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_27;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_28;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_29;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_30;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_31;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_32;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_35;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_36;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_37;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_38;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_39;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_40;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_43;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_44;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_45;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_46;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_47;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2014_061_48;Kaiser-Bunbury et al 2014
kaiser-bunbury2010;Kaiser-Bunbury et al 2010
kaiser-bunbury2014;Kaiser-Bunbury et al 2014
Kaiser-Bunbury2017_Bernica;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Casse-dent;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Copolia;Kaiser-Bunbury2017
Kaiser-Bunbury2017_La-Reserve;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Rosebelle;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Salazie;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Tea-plantation;Kaiser-Bunbury2017
Kaiser-Bunbury2017_Trois-freres;Kaiser-Bunbury2017
Kakutani et al 1990;Kakutani1990
Kakutani1990;Kakutani1990
Kalko BCI zero intx removed;Kalko_BCI_zero_intx_removed
Kalko_BCI_zero_intx_removed;Kalko_BCI_zero_intx_removed
Kamke_2011;Kamke_2011
Kamruzzaman 2008;Kamruzzaman_2008
Kamruzzaman_2008;Kamruzzaman_2008
Kantak 1979;Kantak_1979
Kantak_1979;Kantak_1979
kantak1979;Kantak_1979
Kantak1979;Kantak_1979
Kantsa;Kantsa2018
Kantsa2018;Kantsa2018
karl havens1992;karl havens1992
Kato & Miura 1996;Kato & Miura 1996
Kato 2000;Kato 2000
Kato et al 1990;kato1990
Kato et al 1993;Kato1993
kato1990;kato1990
Kato1990;kato1990
kato1993;Kato1993
Kato1993;Kato1993
Kato1996;Kato1996
Kato1996b;Kato1996b
Kato2000;Kato2000
Kefi et al. (2015);Kefi et al. (2015)
Kehinde & Samways 2014;Kehinde & Samways 2014
Keshtkar et al 2005;Keshtkar et al 2005
Kessler-Rios 2012;Kessler-Rios_2012
Kessler-Rios_2012;Kessler-Rios_2012
Kevan 1970;kevan1970
kevan1970;kevan1970
Khan 1994;Khan 1994
kim&choi2021_A;kim&choi2021
kim&choi2021_B;kim&choi2021
Kindel_1996;Kindel_1996
Kishi et al 2017;Kishi et al 2017
KITA mammals added;KITA_mammals_added
Kitamura 2002;Kitamura_2002
Kitamura_2002;Kitamura_2002
Knuff2019;Knuff2019
Kohler 2011;kohler2011
kohler2011;kohler2011
Koike 2008;Koike_2008
Koike_2008;Koike_2008
kollars2013;kollars2013
kolpelke2017;kolpelke2017
Kone 2008;Kone_2008
Kone_2008;Kone_2008
Konig2022;Konig2022
Kopij_2000;Kopij_2000
Korichi 2012 thesis;Korichi 2012 thesis
koslucher1973;koslucher1973
Kroll, unpublished ;Kroll, unpublished 
kuusela1979;kuusela1979
l. saldanha1980;l. saldanha1980
Labbe 2011;Labbe_2011
Labbe_2011;Labbe_2011
Lafferty et al. (2006);Lafferty et al. (2006)
Lambert 1989;Lambert1989
lambert1989;Lambert1989
Lambert1989;Lambert1989
Landau_1999;Landau_1999
Langner_2011;Langner_2011
Lara 2006;Lara 2006
Lara-Romero et al 2016;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-1;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-10;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-2;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-3;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-4;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-5;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-6;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-7;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-8;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Encroachedpasture-9;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-1;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-2;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-3;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-4;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-5;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-6;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-8;Lara-Romero et al 2016
Lara-Romero_2016_nevero-Pasture-9;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-1;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-10;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-2;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-3;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-4;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-5;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-6;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-7;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-8;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Encroachedpasture-9;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-1;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-10;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-2;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-3;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-4;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-5;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-6;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-7;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-8;Lara-Romero et al 2016
Lara-Romero_2016_penalara-Pasture-9;Lara-Romero et al 2016
LaraC;Lara 2006
larsson1978;larsson1978
Las Casas et al 2012;Las Casas et al 2012
Las_2012;Las Casas et al 2012
LasCasas;Las Casas et al 2012
Lasprilla_2004;Lasprilla_2004
Layer et al. (2010);Layer et al. (2010)
Leather 1991;Leather 1991
Lecorff2000;Lecorff2000
Lefevre 2008;Lefevre_2008
Lefevre_2008;Lefevre_2008
Legagneux et al. (2014);Legagneux et al. (2014)
Lemus-Jimenez & Ramirez 2003;Lemus-Jimenez & Ramirez 2003
Leong1981;Leong1981
Lessa 2010;Lessa_2010
Lessa 2013;Lessa_2013
Lessa_2010;Lessa_2010
Lessa_2013;Lessa_2013
lewis2002;Lewis2002
Lewis2002;Lewis2002
Li_2020;Li_2020
Lima 2016;Lima_2016
Lima_2010;Lima_2010
Lima_2016;Lima_2016
liu2007;liu2007
Llaviuco_Tinoco;Llaviuco_Tinoco
Llewellyn 1952;Llewellyn_1952
Llewellyn_1952;Llewellyn_1952
Loayza 2006;Loayza_2006
Loayza_2006;Loayza_2006
Locatelli_1997;Locatelli_1997
Lopes_1998;Lopes_1998
Lopez & Vaughn 2004;Lopez_and_Vaughn_2004
Lopez_and_Vaughn_2004;Lopez_and_Vaughn_2004
Lopez-Bao 2015;Lopez-Bao 2015
Lou 2005;Lou_2005
Lou 2007;Lou_2007
Lou_2005;Lou_2005
Lou_2007;Lou_2007
Low_mountain_matrix_Norfolk;Low_mountain_matrix_Norfolk
Lozano-Rios 2013;Lozano-Rios 2013
Lundgen & Olesen 2005;Lundgren2005
lundgren2005;Lundgren2005
Lundgren2005;Lundgren2005
M_SD_001;Baird_1980
M_SD_002;Beehler_1983
M_SD_003;Carlo_2003
M_SD_004;Carlo_2003
M_SD_005;Carlo_2003
M_SD_006;Carlo_2003
M_SD_007;Crome1975
M_SD_008;Frost1980
M_SD_009;Galetti_1996
M_SD_010;Snow_1971
M_SD_012;Galetti_1996
M_SD_013;Hamann1999
M_SD_014;Jordano_1985
M_SD_015;Kantak_1979
M_SD_016;Lambert1989
M_SD_017;Tutin_1987
M_SD_018;Mack_1996
M_SD_019;Wheelwright_1984
M_SD_020;Jordano_unpub
M_SD_021;Jordano_unpub
M_SD_022;Silva_2002
M_SD_024;Guitián 1983
M_SD_026;Jordano_unpub
M_SD_027;Jordano_unpub
M_SD_028;Jordano_unpub
M_SD_029;Jordano_unpub
M_SD_030;Jordano_unpub
M_SD_031;Heleno_2013
M_SD_032;Poulin_1999
M_SD_033;Poulin_1999
M_SD_034;Schleuning_2011
m. a. hatanaka1977;m. a. hatanaka1977
m. bradstreet1982;m. bradstreet1982
m. e. vinogradov1978;m. e. vinogradov1978
m. j. dunbar1953;m. j. dunbar1953
M. Kulbicki et al. 2005;M. Kulbicki et al. 2005
M. L. Harmelin-Vivien 1979;M. L. Harmelin-Vivien 1979
m. r. landry1977;m. r. landry1977
M. Sano et al. 1984;M. Sano et al. 1984
Macfadyen_A1;Macfadyen_2009
Macfadyen_A10;Macfadyen_2009
Macfadyen_A2;Macfadyen_2009
Macfadyen_A3;Macfadyen_2009
Macfadyen_A4;Macfadyen_2009
Macfadyen_A5;Macfadyen_2009
Macfadyen_A6;Macfadyen_2009
Macfadyen_A7;Macfadyen_2009
Macfadyen_A8;Macfadyen_2009
Macfadyen_A9;Macfadyen_2009
Macfadyen_B1;Macfadyen_2009
Macfadyen_B10;Macfadyen_2009
Macfadyen_B2;Macfadyen_2009
Macfadyen_B3;Macfadyen_2009
Macfadyen_B4;Macfadyen_2009
Macfadyen_B5;Macfadyen_2009
Macfadyen_B6;Macfadyen_2009
Macfadyen_B7;Macfadyen_2009
Macfadyen_B8;Macfadyen_2009
Macfadyen_B9;Macfadyen_2009
Macfadyen2009_paras-herb_A1;Macfadyen_2009
Macfadyen2009_paras-herb_A10;Macfadyen_2009
Macfadyen2009_paras-herb_A2;Macfadyen_2009
Macfadyen2009_paras-herb_A3;Macfadyen_2009
Macfadyen2009_paras-herb_A4;Macfadyen_2009
Macfadyen2009_paras-herb_A5;Macfadyen_2009
Macfadyen2009_paras-herb_A6;Macfadyen_2009
Macfadyen2009_paras-herb_A7;Macfadyen_2009
Macfadyen2009_paras-herb_A8;Macfadyen_2009
Macfadyen2009_paras-herb_A9;Macfadyen_2009
Macfadyen2009_paras-herb_B1;Macfadyen_2009
Macfadyen2009_paras-herb_B2;Macfadyen_2009
Macfadyen2009_paras-herb_B3;Macfadyen_2009
Macfadyen2009_paras-herb_B4;Macfadyen_2009
Macfadyen2009_paras-herb_B5;Macfadyen_2009
Macfadyen2009_paras-herb_B6;Macfadyen_2009
Macfadyen2009_paras-herb_B7;Macfadyen_2009
Macfadyen2009_paras-herb_B8;Macfadyen_2009
Macfadyen2009_plant-herb_A1;Macfadyen_2009
Macfadyen2009_plant-herb_A10;Macfadyen_2009
Macfadyen2009_plant-herb_A2;Macfadyen_2009
Macfadyen2009_plant-herb_A3;Macfadyen_2009
Macfadyen2009_plant-herb_A4;Macfadyen_2009
Macfadyen2009_plant-herb_A5;Macfadyen_2009
Macfadyen2009_plant-herb_A6;Macfadyen_2009
Macfadyen2009_plant-herb_A7;Macfadyen_2009
Macfadyen2009_plant-herb_A8;Macfadyen_2009
Macfadyen2009_plant-herb_B1;Macfadyen_2009
Macfadyen2009_plant-herb_B2;Macfadyen_2009
Macfadyen2009_plant-herb_B3;Macfadyen_2009
Macfadyen2009_plant-herb_B4;Macfadyen_2009
Macfadyen2009_plant-herb_B8;Macfadyen_2009
Macfadyen2009_plant-herb_B9;Macfadyen_2009
MacFarlane 2016;MacFarlane_2016
MacFarlane_2016;MacFarlane_2016
Machado_2007;Machado_2007
Machado_2009;Machado_2009
Machado_2014;Machado_2014
Machado_2015;Machado_2015
Machado_2019;Machado-de-Souza_2019
Machado-de-Souza 2019;Machado-de-Souza_2019
Machado-de-Souza_2019;Machado-de-Souza_2019
Mack & Wright 1996;Mack & Wright 1996
mack and wright1996;Mack & Wright 1996
Mack1996;Mack & Wright 1996
Mackinnon 1980;Mackinnon 1980
MacMullen 1993;MacMullen 1993
Maglianesi_2014;Maglianesi_2014
Maglianesi_high;Maglianesi_2014
Maglianesi_low;Maglianesi_2014
Maglianesi_mid;Maglianesi_2014
Magrach et al 2017;Magrach et al 2017
Magrach2017_Germany_2011_high;Magrach et al 2017
Magrach2017_Germany_2011_low;Magrach et al 2017
Magrach2017_Germany_2012_high;Magrach et al 2017
Magrach2017_Germany_2012_low;Magrach et al 2017
Magrach2017_Sweden_2011_high;Magrach et al 2017
Magrach2017_Sweden_2011_low;Magrach et al 2017
Magrach2017_Sweden_2012_high;Magrach et al 2017
Magrach2017_Sweden_2012_low;Magrach et al 2017
Magrach2017_UK_2011_high;Magrach et al 2017
Magrach2017_UK_2011_low;Magrach et al 2017
Magrach2017_UK_2012_high;Magrach et al 2017
Magrach2017_UK_2012_low;Magrach et al 2017
Maguina 2012;Maguina 2012
Mahlmann_2014;Mahlmann_2014
Maia_2006;Maia_2006
MAIA_2010;MAIA_2010
Maia_2012;Maia_2012
MAIA_2012;Maia_2012
Malacco da Silva 2014;Malacco_da_Silva_2014
Malacco_da_Silva_2014;Malacco_da_Silva_2014
Malmborg 1988;Malmborg_1988
Malmborg_1988;Malmborg_1988
Malmborg_1988_1980;Malmborg_1988
Malmborg_1988_1981;Malmborg_1988
Malmborg_1988_1982;Malmborg_1988
Mancina 2007;Mancina 2007
Mancina_2007_dry;Mancina 2007
manuel j. zetina-rejon2003;manuel j. zetina-rejon2003
Marcos da Silva 2013;Marcos_da_Silva_2013
Marcos_da_Silva_2013;Marcos_da_Silva_2013
maria angeles torres2013;maria angeles torres2013
Marques_2018;Marques_2018
Marrero et al 2013;Marrero et al 2013
marshall1982;marshall1982
Martínez_2014;Martínez_2014
martins2020;martins2020
Maruyama;Maruyama_2015
Maruyama_2015;Maruyama_2015
Mascarenhas_2016;Mascarenhas_2016
Masetti2004_A;Masetti2004
Masetti2004_B;Masetti2004
Masetti2004_C;Masetti2004
massa2001_A;massa2001
massa2001_B;massa2001
massana1996;massana1996
Matias 2010;Matias 2010
mayse1978;mayse1978
Mazan_Tinoco;Mazan_Tinoco
mccullen1993;mccullen1993
mckinnerney1978;mckinnerney1978
McLaughlin et al. (2010);McLaughlin et al. (2010)
mcmullen1993;mcmullen1993
Medan et all 2002;Medan et all 2002
Medan2002-1;Medan et all 2002
Medan2002-2;Medan et all 2002
medan2002ld;Medan et all 2002
medan2002rb;Medan et all 2002
Medeiros_2020;Medeiros_2020
Meireles_2015;Meireles_2015
Mello 2014;Mello 2014
Mello_2014_Mata_de_Grota;Mello 2014
Memmott 1999;Memmott 1999
memmott1994;memmott1994
memmott1999;Memmott 1999
Mendonca;Mendonca et al. (2018)
Mendonca et al. (2018);Mendonca et al. (2018)
Menezes_2021;Menezes_2021
menge1976;menge1976
menge1986;menge1986
Menke 2012;Menke 2012
Menke_2012_edge_highly_dist;Menke 2012
Menke_2012_edge_little_dist;Menke 2012
Menke_2012_interior_highly_dist;Menke 2012
Menke_2012_interior_little_dist;Menke 2012
MICKELIUNAS_2006;MICKELIUNAS_2006
Mikich 2002;Mikich 2002
Milton 2001;Milton_2001
Milton_2001;Milton_2001
minckley1963;minckley1963
mninshall1976;mninshall1976
mohr1943;mohr1943
Mokotjomela 2013;Mokotjomela 2013
Montalva_2019;Montalva_2019
Montalvan 2015;Montalvan_2015
Montalvan_2015;Montalvan_2015
Montero 2005;Montero 2005
Montero-Castano et al 2017;Montero-Castano et al 2017
Montoya_2019;Montoya_2019
Moraes Weber 2011;Moraes Weber 2011
Morales et al 2006;Morales et al 2006
Moreira_2015;Moreira_2015
Moreno-Mosquera 2011;Moreno-Mosquera_2011
Moreno-Mosquera_2011;Moreno-Mosquera_2011
morgan1974;morgan1974
Mosquin & Martin 1967;Mosquin1967
mosquin1967;Mosquin1967
Mosquin1967;Mosquin1967
moten1982;Motten1982
Motta_1991;Motta_1991
motta2005;motta2005
Motten 1982;Motten1982
Motten1982;Motten1982
MSc thesis (not available);MSc thesis (not available)
Mulder & Elser (2009);Mulder & Elser (2009)
muller1999;muller1999
Munin 2012;Munin_2012
Munin_2012;Munin_2012
Muñoz_2017;Muñoz_2017
Munster 2008;Munster_2008
Munster_2008;Munster_2008
Mwangi 2009 MSc;Mwangi 2009 MSc
n. a. mackintosh1967;n. a. mackintosh1967
n. v. parin1970;n. v. parin1970
Nadai_2014;Nadai_2014
nakagawa_1;nakagawa_1
nakagawa_2;nakagawa_2
Naniwadekar_2019;Naniwadekar_2019
Nates-Parra et al 2006;Nates-Parra et al 2006
Nel et al 2017;Nel et al 2017
Neli 2014;Neli 2014
Nero_Tinoco;Nero_Tinoco
Nery_2018;Nery_2018
NETO_2006;NETO_2006
Neves_2006;Neves_2006
niering1963;niering1963
Nobrega_2016;Nobrega_2016
Nogales 2017;Nogales_2017
Nogales_2017;Nogales_2017
Noma 1997;Noma_1997
Noma_1997;Noma_1997
Novais_2013;Novais_2014
Novais_2014;Novais_2014
Novoa 2011;Novoa_2011
Novoa_2011;Novoa_2011
novotny2005;Novotny2005
Novotny2005;Novotny2005
novotny2012;Novotny2012
Novotny2012;Novotny2012
Nsiku (1999);Nsiku (1999)
nybakken2001;nybakken2001
O'Gorman et al. (2012);O'Gorman et al. (2012)
O’Donnell_1994;Odonnell_1994
Odonnell 1994;Odonnell_1994
Odonnell_1994;Odonnell_1994
olensen_garajoay;olensen_garajoay
Oleques et al 2019;Oleques et al 2019
Olesen 2018;Olesen_2018
Olesen et al 2002;Olesen2002
Olesen et al 2008;Olesen et al 2008
Olesen_2018;Olesen_2018
Olesen unpublished;Olesen unpublished
Olesen-3;Olesen unpublished
olesenNA;Olesen unpublished
olesen2002;Olesen2002
Olesen2002;Olesen2002
olesen2002aig;Olesen2002
olesen2002flo;Olesen2002
Olito;Olito-Fox2014
Olito-Fox2014;Olito-Fox2014
Ollerton et al 2003;Ollerton2003
Ollerton et all 2007;Ollerton et all 2007
Ollerton_2009;Ollerton_2009
ollerton2003;Ollerton2003
Ollerton2003;Ollerton2003
Opitz (1996);Opitz (1996)
Oppenheimer and Lill 2021;Oppenheimer and Lill 2021
Orford et al 2016;Orford et al 2016
Orford_2016_Farm-2012-A9;Orford et al 2016
Orford_2016_Farm-2012-B1;Orford et al 2016
Orford_2016_Farm-2012-B2;Orford et al 2016
Orford_2016_Farm-2012-B4;Orford et al 2016
Orford_2016_Farm-2012-B5;Orford et al 2016
Orford_2016_Farm-2012-B6;Orford et al 2016
Orford_2016_Farm-2012-B7;Orford et al 2016
Orford_2016_Farm-2012-B8;Orford et al 2016
Orford_2016_Farm-2012-B9;Orford et al 2016
Orford_2016_Farm-2013-B1;Orford et al 2016
Orford_2016_Farm-2013-B2;Orford et al 2016
Orford_2016_Farm-2013-B4;Orford et al 2016
Orford_2016_Farm-2013-B7;Orford et al 2016
Orford_2016_Field-10;Orford et al 2016
Orford_2016_Field-13;Orford et al 2016
Orford_2016_Field-15;Orford et al 2016
Orford_2016_Field-19;Orford et al 2016
Orford_2016_Field-24;Orford et al 2016
Orford_2016_Field-27;Orford et al 2016
Orford_2016_Field-28;Orford et al 2016
Orford_2016_Field-33;Orford et al 2016
Orford_2016_Field-36;Orford et al 2016
Orford_2016_Field-4;Orford et al 2016
Orford_2016_Field-40;Orford et al 2016
Orford_2016_Field-42;Orford et al 2016
Orford_2016_Field-45;Orford et al 2016
Orford_2016_Field-49;Orford et al 2016
Orford_2016_Field-51;Orford et al 2016
Orford_2016_Field-54;Orford et al 2016
Orford_2016_Field-55;Orford et al 2016
Orford_2016_Field-58;Orford et al 2016
Orford_2016_Field-63;Orford et al 2016
Orford_2016_Field-64;Orford et al 2016
Orford_2016_Field-67;Orford et al 2016
Orford_2016_Field-7;Orford et al 2016
Orford_2016_Field-72;Orford et al 2016
Orford_2016_Field-9;Orford et al 2016
Ortiz-Pulido 2000;Ortiz-Pulido_2000
Ortiz-Pulido_2000;Ortiz-Pulido_2000
P. A. Cotton 1998;P. A. Cotton 1998
P. K. Maruyama et al. (2015);P. K. Maruyama et al. 2015
P. K. Maruyama et al. 2015;P. K. Maruyama et al. 2015
paine1980;paine1980
Palacios 2016;Palacios_2016
Palacios_2016;Palacios_2016
Palita 2011;Palita_2011
Palita_2011;Palita_2011
Palmeirim 1989;Palmeirim_1989
Palmeirim_1989;Palmeirim_1989
Pansarin_2014;Pansarin_2014
parker2006;parker2006
Partida_2012;Partida_2012
Partida_2018;Partida-Lara et al. 2018
Partida-Lara et al. 2018;Partida-Lara et al. 2018
Passmore2012-2107-FF;Passmore2012
Passmore2012-2108-FF;Passmore2012
Passmore2012-Camp41-CF;Passmore2012
Passmore2012-Colosso-FF;Passmore2012
Passmore2012-Dimona-CF;Passmore2012
Passmore2012-Florestal-CF;Passmore2012
Passmore2012-PortoAlegre-CF;Passmore2012
Passmore2012-PortoAlegre-FF;Passmore2012
Passos 2003;Passos_2003
Passos_2003;Passos_2003
patten1975;patten1975
Paul CaraDonna2020;Caradonna_2020
PAULINO_2014;PAULINO_2014
Pearse2013;Pearse2013
pearson&altermatt2013;pearson&altermatt2013
Pedro 1992;Pedro_1992
Pedro_1992;Pedro_1992
Pedron_2012;Pedron_2012
Pejchar 2015;Pejchar 2015
Peralta2017;Peralta2017
Percival 1974;Percival1974
percival1929;percival1929
percival1974;Percival1974
Percival1974;Percival1974
Peredo 2013;Peredo 2013
Peredo_2013_Pto_de_San_Lorenzo;Peredo 2013
Peredo_2013_Puertos_de_Marabio;Peredo 2013
Perez-Torres 2004;Perez-Torres 2004
Perez-Torres_2004;Perez-Torres_2004
Petanidou 1991;Petanidou 1991
petanidou1991;Petanidou 1991
peter yodzis1998;Yodzis_1988
Pfeiffer MsC Thesis 2012;Pfeiffer MsC Thesis 2012
philipp2006;Philipp2006
Philipp2006;Philipp2006
Phillipp et al 2006;Philipp2006
Piechnik et al. (2008), Simberloff and Wilson (1969);Piechnik et al. (2008), Simberloff and Wilson (1969)
Pilosof2013_1982;Pilosof_2013
Pilosof2013_1983;Pilosof_2013
Pilosof2013_1984;Pilosof_2013
Pilosof2013_1985;Pilosof_2013
Pilosof2013_1986;Pilosof_2013
Pilosof2013_1987;Pilosof_2013
Pinheiro et al 2008;Pinheiro et al 2008
Piratelli_1992;Piratelli_1992
Pitteloud2020_B1;Pitteloud_2020
Pitteloud2020_B2;Pitteloud_2020
Pitteloud2020_B3;Pitteloud_2020
Pitteloud2020_B4;Pitteloud_2020
Pitteloud2020_B5.1;Pitteloud_2020
Pitteloud2020_B5.2;Pitteloud_2020
Pitteloud2020_B6;Pitteloud_2020
Pitteloud2020_B7;Pitteloud_2020
Pitteloud2020_B8;Pitteloud_2020
Pitteloud2020_C1;Pitteloud_2020
Pitteloud2020_C2;Pitteloud_2020
Pitteloud2020_C3;Pitteloud_2020
Pitteloud2020_C4;Pitteloud_2020
Pitteloud2020_C5;Pitteloud_2020
Pitteloud2020_C6;Pitteloud_2020
Pitteloud2020_C7;Pitteloud_2020
Pitteloud2020_C8;Pitteloud_2020
Pitteloud2020_F1;Pitteloud_2020
Pitteloud2020_F2;Pitteloud_2020
Pitteloud2020_F3;Pitteloud_2020
Pitteloud2020_F4;Pitteloud_2020
Pitteloud2020_F5;Pitteloud_2020
Pitteloud2020_F6;Pitteloud_2020
Pitteloud2020_F7;Pitteloud_2020
Pitteloud2020_F8;Pitteloud_2020
Pitteloud2020_G1;Pitteloud_2020
Pitteloud2020_G2;Pitteloud_2020
Pitteloud2020_G3;Pitteloud_2020
Pitteloud2020_G4;Pitteloud_2020
Pitteloud2020_G5;Pitteloud_2020
Pitteloud2020_G6;Pitteloud_2020
Pitteloud2020_G7;Pitteloud_2020
Pitteloud2020_G8;Pitteloud_2020
Pitteloud2020_M1;Pitteloud_2020
Pitteloud2020_M2;Pitteloud_2020
Pitteloud2020_M3;Pitteloud_2020
Pitteloud2020_M4;Pitteloud_2020
Pitteloud2020_M5;Pitteloud_2020
Pitteloud2020_M6;Pitteloud_2020
Pitteloud2020_M7;Pitteloud_2020
Pitteloud2020_M8;Pitteloud_2020
Pitteloud2020_S1;Pitteloud_2020
Pitteloud2020_S2;Pitteloud_2020
