"";"P22_node_10900";"P22_node_10901";"P22_node_10902";"P22_node_10903";"P22_node_10904";"P22_node_10905";"P22_node_10906";"P22_node_10907";"P22_node_10908";"P22_node_10909";"P22_node_9329";"P22_node_10910";"P22_node_10911";"P22_node_5354";"P22_node_10912";"P22_node_10913";"P22_node_10914";"P22_node_10755";"P22_node_10756";"P22_node_10915";"P22_node_9816";"P22_node_9466";"P22_node_10916";"P22_node_5127";"P22_node_10917";"P22_node_10918";"P22_node_10919";"P22_node_10757";"P22_node_10920";"P22_node_10354";"P22_node_10355";"P22_node_10356";"P22_node_10357";"P22_node_10358";"P22_node_10359";"P22_node_10360";"P22_node_10921";"P22_node_10922";"P22_node_10923";"P22_node_10924";"P22_node_10925";"P22_node_10926";"P22_node_10927";"P22_node_10928";"P22_node_10929";"P22_node_10930";"P22_node_7099";"P22_node_10746";"P22_node_7102";"P22_node_10931";"P22_node_10932";"P22_node_10761";"P22_node_10762";"P22_node_10933";"P22_node_10934";"P22_node_10935";"P22_node_10936";"P22_node_10937";"P22_node_10938";"P22_node_5438";"P22_node_5449";"P22_node_10939";"P22_node_10940";"P22_node_10941";"P22_node_10942";"P22_node_10943";"P22_node_10944";"P22_node_10945";"P22_node_10946";"P22_node_10947";"P22_node_10948";"P22_node_10949";"P22_node_10950";"P22_node_10951";"P22_node_10952";"P22_node_10953";"P22_node_10954";"P22_node_10955";"P22_node_10956";"P22_node_10957";"P22_node_10958";"P22_node_10959";"P22_node_10960";"P22_node_7123";"P22_node_10961";"P22_node_10962";"P22_node_10963";"P22_node_10964";"P22_node_10965";"P22_node_9474";"P22_node_10966";"P22_node_9475";"P22_node_10967";"P22_node_10772";"P22_node_10968";"P22_node_10969";"P22_node_9330";"P22_node_10970";"P22_node_10971";"P22_node_9464";"P22_node_10778";"P22_node_10972";"P22_node_10973"
"P22_node_2267";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2268";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2269";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2270";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2271";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2272";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2273";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2274";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_473";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2275";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
