"";"P22_node_8914";"P22_node_8915";"P22_node_9952";"P22_node_8918";"P22_node_9966";"P22_node_9865";"P22_node_9898";"P22_node_9193";"P22_node_9195";"P22_node_9199";"P22_node_9204";"P22_node_9210";"P22_node_9287";"P22_node_5544";"P22_node_5912";"P22_node_5198";"P22_node_8927";"P22_node_9967";"P22_node_9968";"P22_node_8931";"P22_node_9868";"P22_node_7016";"P22_node_9969";"P22_node_9870";"P22_node_9970";"P22_node_5701";"P22_node_9229";"P22_node_5734";"P22_node_9971";"P22_node_9880";"P22_node_9883";"P22_node_5354";"P22_node_9885";"P22_node_5768";"P22_node_9972";"P22_node_9973";"P22_node_9890";"P22_node_8993";"P22_node_9974";"P22_node_8783";"P22_node_9891";"P22_node_9892";"P22_node_9893";"P22_node_9894";"P22_node_6966";"P22_node_8785";"P22_node_8998";"P22_node_8999";"P22_node_9000";"P22_node_8794";"P22_node_9895";"P22_node_9975";"P22_node_9976";"P22_node_9003";"P22_node_5382";"P22_node_9511";"P22_node_9896";"P22_node_9011";"P22_node_9900";"P22_node_9977";"P22_node_9874";"P22_node_6237";"P22_node_9947";"P22_node_9904";"P22_node_9905";"P22_node_8916";"P22_node_8640";"P22_node_9953";"P22_node_9906";"P22_node_9907";"P22_node_9910";"P22_node_9978";"P22_node_9911";"P22_node_9979";"P22_node_9041";"P22_node_9286";"P22_node_9053";"P22_node_9980";"P22_node_9981";"P22_node_9982";"P22_node_5802";"P22_node_9913";"P22_node_9983";"P22_node_9914";"P22_node_9984";"P22_node_8844";"P22_node_5859";"P22_node_9916";"P22_node_5518";"P22_node_5668";"P22_node_9985";"P22_node_6971";"P22_node_6972";"P22_node_9986";"P22_node_9921";"P22_node_9987";"P22_node_9988";"P22_node_9989";"P22_node_7334";"P22_node_9144";"P22_node_9926";"P22_node_9927";"P22_node_5853";"P22_node_6434";"P22_node_9158";"P22_node_9159";"P22_node_6477";"P22_node_9931";"P22_node_9170";"P22_node_9173";"P22_node_9990";"P22_node_9194";"P22_node_9949";"P22_node_9991";"P22_node_9197";"P22_node_5704";"P22_node_5286";"P22_node_9937";"P22_node_5288";"P22_node_5877";"P22_node_7017";"P22_node_7018";"P22_node_9992";"P22_node_9214";"P22_node_8083";"P22_node_9993";"P22_node_9994";"P22_node_7020";"P22_node_9240";"P22_node_7022";"P22_node_8244";"P22_node_6609";"P22_node_9260";"P22_node_5731";"P22_node_9995";"P22_node_9677";"P22_node_9263";"P22_node_9264";"P22_node_9218";"P22_node_9996";"P22_node_9997";"P22_node_6957";"P22_node_5535";"P22_node_9998";"P22_node_9943";"P22_node_9999";"P22_node_9882";"P22_node_9125";"P22_node_10000";"P22_node_7025";"P22_node_9950";"P22_node_7030";"P22_node_8919";"P22_node_10001";"P22_node_10002";"P22_node_10003";"P22_node_10004";"P22_node_8910";"P22_node_9316";"P22_node_9317";"P22_node_9116";"P22_node_8922";"P22_node_9964";"P22_node_9308";"P22_node_10005"
"P22_node_1720";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1721";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1706";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1722";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1723";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1377";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_628";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1354";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1714";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1724";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
