web;insectorder;insectfamily;insectgenus;insectspecies;plantfamily;plantgenus;plantspecies
lewis2002;;;;unreared agromyzid sp.8;euphorbiaceae;acalypha;costaricensis
lewis2002;;;;unreared agromyzid sp.9;sapindaceae;cardiospermum;grandiflorum
lewis2002;;;;unreared hispine sp.4;sapindaceae;paullinia;cf. costaricensis
lewis2002;;;;unreared hispine sp.6;asteraceae;otopappus;verbesinoides
lewis2002;;;;unreared hispine sp.7;asteraceae;lasianthaea;fruticosa
lewis2002;;;;unreared hispine sp.8;asteraceae;sinclairia;polyantha
lewis2002;;;;unreared hispine sp.9;salicaceae;casearia;corymbosa
lewis2002;;;;unreared lepidoptera sp.1;fabaceae;lonchocarpus;lineatus
lewis2002;;;;unreared lepidoptera sp.11;piperaceae;piper;aff. psilorrachis
lewis2002;;;;unreared lepidoptera sp.12;asteraceae;melanthera;nivea
lewis2002;;;;unreared lepidoptera sp.14;rutaceae;zanthoxylum;petenense
lewis2002;;;;unreared lepidoptera sp.16;euphorbiaceae;croton;bilbergianus ssp. pyrimidalis
lewis2002;;;;unreared lepidoptera sp.20;poaceae;lasiacis;grisebachii
lewis2002;;;;unreared lepidoptera sp.22;poaceae;lasiacis;cf. ruscifolia
lewis2002;;;;unreared lepidoptera sp.25;meliaceae;trichilia;pallida
lewis2002;;;;unreared lepidoptera sp.27;rubiaceae;hamelia;cf. axillaris
lewis2002;;;;unreared lepidoptera sp.28;rubiaceae;hamelia;cf. axillaris
lewis2002;;;;unreared lepidoptera sp.32;;;unknown hostplant 4
lewis2002;;;;unreared lepidoptera sp.34;myrtaceae;myrcia;splendens
lewis2002;;;;unreared lepidoptera sp.5;rubiaceae;psychotria;chiapensis
lewis2002;;;;unreared lepidoptera sp.6;meliaceae;trichilia;havanensis
lewis2002;;;;uroplata fusca chapuis;bignoniaceae;amphilophium;paniculatum
lewis2002;;;;uroplata fusca chapuis;verbenaceae;callicarpa;acuminata
lewis2002;;;;;;;noncom1
lewis2002;;;;;;;noncom2
lewis2002;;;;;;;noncom3
lewis2002;;;;;;;noncom4
lewis2002;;;;;;;noncom5
lewis2002;;;;;;;noncom6
lewis2002;;;;;;;noncom7
lewis2002;;;;;;;noncom8
lewis2002;;;;;;;noncom9
lewis2002;;;;;;;noncom10
lewis2002;;;;;;;noncom11
lewis2002;;;;;;;noncom12
lewis2002;;;;;;;noncom13
lewis2002;;;;;;;noncom14
lewis2002;;;;;;;noncom15
lewis2002;;;;;;;noncom16
lewis2002;;;;;;;noncom17
lewis2002;;;;;;;noncom18
lewis2002;;;;;;;noncom19
lewis2002;;;;;;;noncom20
lewis2002;;;;;;;noncom21
lewis2002;;;;;;;noncom22
lewis2002;;;;;;;noncom23
lewis2002;;;;;;;noncom24
lewis2002;;;;;;;noncom25
lewis2002;;;;;;;noncom26
lewis2002;;;;;;;noncom27
lewis2002;;;;;;;noncom28
lewis2002;;;;;;;noncom29
lewis2002;;;;;;;noncom30
lewis2002;;;;;;;noncom31
lewis2002;;;;;;;noncom32
lewis2002;;;;;;;noncom33
lewis2002;;;;;;;noncom34
lewis2002;;;;;;;noncom35
lewis2002;;;;;;;noncom36
lewis2002;;;;;;;noncom37
lewis2002;;;;;;;noncom38
lewis2002;;;;;;;noncom39
lewis2002;;;;;;;noncom40
lewis2002;;;;;;;noncom41
lewis2002;;;;;;;noncom42
lewis2002;;;;;;;noncom43
lewis2002;;;;;;;noncom44
lewis2002;;;;;;;noncom45
lewis2002;;;;;;;noncom46
lewis2002;;;;;;;noncom47
lewis2002;;;;;;;noncom48
lewis2002;;;;;;;noncom49
lewis2002;;;;;;;noncom50
lewis2002;;;;;;;noncom51
lewis2002;;;;;;;noncom52
lewis2002;;;;;;;noncom53
lewis2002;;;;;;;noncom54
lewis2002;;;;;;;noncom55
lewis2002;;;;;;;noncom56
lewis2002;;;;;;;noncom57
lewis2002;;;;;;;noncom58
lewis2002;;;;;;;noncom59
lewis2002;;;;;;;noncom60
lewis2002;;;;;;;noncom61
lewis2002;;;;;;;noncom62
lewis2002;;;;;;;noncom63
lewis2002;;;;;;;noncom64
lewis2002;;;;;;;noncom65
lewis2002;;;;;;;noncom66
lewis2002;;;;;;;noncom67
lewis2002;;;;;;;noncom68
lewis2002;;;;;;;noncom69
lewis2002;;;;;;;noncom70
lewis2002;;;;;;;noncom71
lewis2002;;;;;;;noncom72
lewis2002;;;;;;;noncom73
lewis2002;;;;;;;noncom74
lewis2002;;;;;;;noncom75
lewis2002;;;;;;;noncom76
lewis2002;;;;;;;noncom77
lewis2002;;;;;;;noncom78
lewis2002;;;;;;;noncom79
lewis2002;;;;;;;noncom80
lewis2002;;;;;;;noncom81
lewis2002;;;;;;;noncom82
lewis2002;;;;;;;noncom83
lewis2002;;;;;;;noncom84
lewis2002;;;;;;;noncom85
lewis2002;;;;;;;noncom86
lewis2002;;;;;;;noncom87
lewis2002;;;;;;;noncom88
lewis2002;;;;;;;noncom89
lewis2002;;;;;;;noncom90
lewis2002;;;;;;;noncom91
lewis2002;;;;;;;noncom92
lewis2002;;;;;;;noncom93
lewis2002;;;;;;;noncom94
lewis2002;;;;;;;noncom95
lewis2002;;;;;;;noncom96
lewis2002;;;;;;;noncom97
lewis2002;;;;;;;noncom98
lewis2002;;;;;;;noncom99
lewis2002;;;;;;;noncom100
lewis2002;;;;;;;noncom101
lewis2002;;;;;;;noncom102
lewis2002;;;;;;;noncom103
lewis2002;;;;;;;noncom104
lewis2002;;;;;;;noncom105
lewis2002;;;;;;;noncom106
lewis2002;;;;;;;noncom107
lewis2002;;;;;;;noncom108
lewis2002;;;;;;;noncom109
lewis2002;;;;;;;noncom110
lewis2002;;;;;;;noncom111
lewis2002;;;;;;;noncom112
lewis2002;;;;;;;noncom113
lewis2002;;;;;;;noncom114
lewis2002;;;;;;;noncom115
lewis2002;;;;;;;noncom116
lewis2002;;;;;;;noncom117
lewis2002;;;;;;;noncom118
lewis2002;;;;;;;noncom119
lewis2002;;;;;;;noncom120
lewis2002;;;;;;;noncom121
lewis2002;;;;;;;noncom122
lewis2002;;;;;;;noncom123
lewis2002;;;;;;;noncom124
lewis2002;;;;;;;noncom125
lewis2002;;;;;;;noncom126
lewis2002;;;;;;;noncom127
lewis2002;;;;;;;noncom128
lewis2002;;;;;;;noncom129
lewis2002;;;;;;;noncom130
lewis2002;;;;;;;noncom131
lewis2002;;;;;;;noncom132
lewis2002;;;;;;;noncom133
Macfadyen_A1;Lepidoptera;Tortricidae;Acleris;variegana;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Noctuidae;Acronicta;psi;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Noctuidae;Acronicta;tridens;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Noctuidae;Acronicta;psi;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Noctuidae;Acronicta;tridens;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Nymphalidae;Aglais;urticae;Urticaceae;Urtica;dioica
Macfadyen_A1;Diptera;Agromyzidae;Agromyza;vicifoliae;Fabaceae;Trifolium;spp.
Macfadyen_A1;Lepidoptera;Noctuidae;Amphipyra;pyramidea;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Choreutidae;Anthophila;fabriciana;Urticaceae;Urtica;dioica
Macfadyen_A1;Lepidoptera;Geometridae;Asthena;albulata;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Geometridae;Biston;betularia;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Gracillariidae;Caloptilia;syringella;Oleaceae;Fraxinus;excelsior
Macfadyen_A1;Lepidoptera;Tortricidae;Celypha;lacunana;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Lepidoptera;Tortricidae;Celypha;lacunana;Urticaceae;Urtica;dioica
Macfadyen_A1;Diptera;Agromyzidae;Chromatomyia;?milii;Poaceae;n.i.;unknown
Macfadyen_A1;Diptera;Agromyzidae;Chromatomyia;milii;Poaceae;n.i.;unknown
Macfadyen_A1;Diptera;Agromyzidae;Chromatomyia;nigra;Poaceae;n.i.;unknown
Macfadyen_A1;Diptera;Agromyzidae;Chromatomyia;milii;Poaceae;Holcus;lanatus
Macfadyen_A1;Diptera;Agromyzidae;Chromatomyia;milii;Urticaceae;Urtica;dioica
Macfadyen_A1;Lepidoptera;Drepanidae;Cilix;glaucata;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Drepanidae;Cilix;glaucata;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Tortricidae;Cnephasia;asseclana;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Lepidoptera;Tortricidae;Cnephasia;incertana;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Lepidoptera;Tortricidae;Cnephasia;stephensiana;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Lepidoptera;Tortricidae;Cnephasia;asseclana;Lamiaceae;Stachys;sylvatica
Macfadyen_A1;Lepidoptera;Tortricidae;Cnephasia;asseclana;Urticaceae;Urtica;dioica
Macfadyen_A1;Lepidoptera;Noctuidae;Conistra;ligula;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Gracillariidae;Deltaornix;torquillella;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Chimabachidae;Diurnea;fagella;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Arctiidae;Eilema;sp.;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Tischeriidae;Emmetia;marginea;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Epermeniidae;Epermenia;chaerophyllella;Apiaceae;Heracleum;sphondylium
Macfadyen_A1;Lepidoptera;Tortricidae;Epiblema;uddmanniana;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Tortricidae;Epiphyas;postvittana;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Geometridae;Epirrita;dilutata;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Geometridae;Epirrita;dilutata;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Geometridae;Epirrita;dilutata;Oleaceae;Fraxinus;excelsior
Macfadyen_A1;Lepidoptera;Geometridae;Eupithecia;subfuscata;Betulaceae;Corylus;avellana
Macfadyen_A1;Diptera;Agromyzidae;Liriomyza;congesta;Fabaceae;Trifolium;spp.
Macfadyen_A1;Lepidoptera;Noctuidae;Lithophane;hepatica;Rosaceae;Malus;sp.
Macfadyen_A1;Lepidoptera;Geometridae;Lomographa;temerata;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Lyonetiidae;Lyonetia;clerkella;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Nolidae;Nycteola;revayana;Fagaceae;Quercus;robur
Macfadyen_A1;Lepidoptera;Geometridae;Operophtera;brumata;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Geometridae;Operophtera;brumata;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Geometridae;Operophtera;brumata;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Geometridae;Opisthograptis;luteolata;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Lymantriidae;Orgyia;antiqua;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Tortricidae;Pandemis;spp.;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Gracillariidae;Parornix;devoniella;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Gracillariidae;Parornix;anglicella;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Gracillariidae;Parornix;finitimella;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Gracillariidae;Parornix;spp.;Rosaceae;Prunus;spinosa
Macfadyen_A1;Diptera;Anthomyiidae;Pegomya;hyoscami;Polygonaceae;Rumex;acetosa
Macfadyen_A1;Diptera;Anthomyiidae;Pegomya;hyoscami;Polygonaceae;Rumex;spp.
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;coryli;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;nicellii;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;corylifoliella;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;oxyacanthae;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;trifasciella;Caprifoliaceae;Lonicera;periclymenum
Macfadyen_A1;Lepidoptera;Gracillariidae;Phyllonorycter;spinicolella;Rosaceae;Prunus;spinosa
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;ilicis;Aquifoliaceae;Ilex;aquifolium
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;fallaciosa;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;ranunculi;Ranunculaceae;Ranunculus;acris
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;ranunculi;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;ranunculi;Ranunculaceae;Ranunculus;sp.
Macfadyen_A1;Diptera;Agromyzidae;Phytomyza;fallaciosa;Fabaceae;Trifolium;pratense
Macfadyen_A1;Lepidoptera;Crambidae;Pleuroptya;ruralis;Urticaceae;Urtica;dioica
Macfadyen_A1;Diptera;Drosophilidae;Scaptomyza;graminum;Caryophyllaceae;Silene;dioica
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;floslactella;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;microtheriella;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;spp.;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;plagicolella;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;spp.;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;aurella;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Nepticulidae;Stigmella;spp.;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Geometridae;Theria;primaria;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;Geometridae;Theria;primaria;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;Crambidae;Udea;prunalis;Urticaceae;Urtica;dioica
Macfadyen_A1;Diptera;n.i.;n.i.;ukD1;Poaceae;Avena;spp.
Macfadyen_A1;Diptera;n.i.;n.i.;ukD10;Lamiaceae;Glechoma;hederacea
Macfadyen_A1;Diptera;n.i.;n.i.;ukD10;Polypodiaceae;Pteridium;aquilinum
Macfadyen_A1;Diptera;n.i.;n.i.;ukD39;Fabaceae;Trifolium;spp.
Macfadyen_A1;Diptera;n.i.;n.i.;ukD7;Caprifoliaceae;Lonicera;periclymenum
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL155;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL171;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL171;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL172;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL200;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL200;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL201;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL203;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL204;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL204;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL205;Betulaceae;Corylus;avellana
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL209;Rosaceae;Crataegus;monogyna
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL209;Rosaceae;Prunus;spinosa
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL209;Urticaceae;Urtica;dioica
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL210;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL223;Fabaceae;Trifolium;pratense
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL234;Polypodiaceae;Pteridium;aquilinum
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL235;Ranunculaceae;Ranunculus;repens
Macfadyen_A1;Lepidoptera;n.i.;n.i.;ukL76;Rosaceae;Rubus;fruticosus
Macfadyen_A1;Lepidoptera;Ypsolophidae;Ypsolopha;scabrella;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Tortricidae;Acleris;sparsana;Betulaceae;Carpinus;betulus
Macfadyen_A10;Lepidoptera;Tortricidae;Acleris;rhombana;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Noctuidae;Acronicta;psi;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Oecophoridae;Agonopterix;heracliana;Apiaceae;Anthriscus;sylvestris
Macfadyen_A10;Diptera;Agromyzidae;Agromyza;vicifoliae;Fabaceae;Trifolium;spp.
Macfadyen_A10;Lepidoptera;Noctuidae;Allophyes;oxyacanthae;Rosaceae;Prunus;avium
Macfadyen_A10;Lepidoptera;Noctuidae;Allophyes;oxyacanthae;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Choreutidae;Anthophila;fabriciana;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Geometridae;Biston;strataria;Sapindaceae;Acer;campestre
Macfadyen_A10;Lepidoptera;Lymantriidae;Calliteara;pudibunda;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;Gracillariidae;Calybites;phasianipennella;Polygonaceae;Rumex;spp.
Macfadyen_A10;Lepidoptera;Tortricidae;Celypha;lacunana;Lamiaceae;Glechoma;hederacea
Macfadyen_A10;Lepidoptera;Tortricidae;Celypha;lacunana;Rosaceae;Potentilla;reptans
Macfadyen_A10;Lepidoptera;Tortricidae;Celypha;lacunana;Urticaceae;Urtica;dioica
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;milii;Poaceae;n.i.;unknown
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;nigra;Poaceae;n.i.;unknown
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;?milii;Poaceae;Holcus;lanatus
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;milii;Poaceae;Holcus;lanatus
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;nigra;Poaceae;Holcus;lanatus
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;horticola;Asteraceae;Sonchus;oleraceus
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;nigra;Poaceae;Triticum;sp.
Macfadyen_A10;Diptera;Agromyzidae;Chromatomyia;nigra;Poaceae;hybride;xTriticosecale
Macfadyen_A10;Lepidoptera;Tortricidae;Clepsis;spectrana;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;incertana;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;spp.;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;stephensiana;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;asseclana;Ranunculaceae;Ranunculus;repens
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;asseclana;Lamiaceae;Stachys;sylvatica
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;asseclana;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Tortricidae;Cnephasia;stephensiana;Poaceae;hybride;xTriticosecale
Macfadyen_A10;Lepidoptera;Coleophoridae;Coleophora;peribenanderi;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Pantheidae;Colocasia;coryli;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;Noctuidae;Conistra;ligula;Sapindaceae;Acer;campestre
Macfadyen_A10;Lepidoptera;Geometridae;Crocallis;elinguaria;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Chimabachidae;Diurnea;fagella;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;Elachistidae;Elachista;atricomella;Poaceae;n.i.;unknown
Macfadyen_A10;Lepidoptera;Crambidae;Eurrhypara;hortulata;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Lasiocampidae;Euthrix;potatoria;Poaceae;n.i.;unknown
Macfadyen_A10;Lepidoptera;Gelechiidae;Helcystogramma;rufescens;Poaceae;n.i.;unknown
Macfadyen_A10;Lepidoptera;Noctuidae;Hypena;proboscidalis;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Tortricidae;Lathronympha;strigana;Hypericaceae;Hypericum;perforatum
Macfadyen_A10;Diptera;Agromyzidae;Liriomyza;sp.;Poaceae;Holcus;lanatus
Macfadyen_A10;Lepidoptera;Tortricidae;Lobesia;abscisana;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Geometridae;Lomographa;temerata;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Geometridae;Operophtera;brumata;Sapindaceae;Acer;campestre
Macfadyen_A10;Lepidoptera;Geometridae;Operophtera;brumata;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;Geometridae;Operophtera;brumata;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Geometridae;Opisthograptis;luteolata;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Geometridae;Opisthograptis;luteolata;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Noctuidae;Orthosia;gothica;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;Tortricidae;Pandemis;corylana;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Gracillariidae;Parornix;devoniella;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;Gracillariidae;Parornix;anglicella;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Diptera;Anthomyiidae;Pegomya;hyoscami;Polygonaceae;Rumex;spp.
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;coryli;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;oxyacanthae;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;spp.;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;spinicolella;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;oakcomplex;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;quercifoliella;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;Gracillariidae;Phyllonorycter;spp.;Fagaceae;Quercus;robur
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;spinaciae;Asteraceae;Cirsium;vulgare
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;spondylii;Lamiaceae;Glechoma;hederacea
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;fallaciosa;Ranunculaceae;Ranunculus;repens
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;ranunculi;Ranunculaceae;Ranunculus;repens
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;ranunculivora;Asteraceae;Sonchus;oleraceus
Macfadyen_A10;Diptera;Agromyzidae;Phytomyza;sp.;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Crambidae;Pleuroptya;ruralis;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;Plutellidae;Plutella;xylostella;Brassicaceae;Coronopus;squamatus
Macfadyen_A10;Lepidoptera;Plutellidae;Plutella;xylostella;Brassicaceae;Sinapis;arvensis
Macfadyen_A10;Diptera;Drosophilidae;Scaptomyza;pallida;Polygonaceae;Rumex;spp.
Macfadyen_A10;Lepidoptera;Gelechiidae;Scrobipalpa;acuminatella;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;Gelechiidae;Scrobipalpa;acuminatella;Asteraceae;Cirsium;vulgare
Macfadyen_A10;Lepidoptera;Nepticulidae;Stigmella;spp.;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;Nepticulidae;Stigmella;plagicolella;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;Yponomeutidae;Swammerdamia;pyrella;Rosaceae;Prunus;cerasifera
Macfadyen_A10;Lepidoptera;Crambidae;Udea;olivalis;Urticaceae;Urtica;dioica
Macfadyen_A10;Diptera;n.i.;n.i.;ukD13;Asteraceae;Cirsium;arvense
Macfadyen_A10;Diptera;n.i.;n.i.;ukD29;Rosaceae;Geum;urbanum
Macfadyen_A10;Diptera;n.i.;n.i.;ukD3;Apiaceae;Anthriscus;sylvestris
Macfadyen_A10;Diptera;n.i.;n.i.;ukD31;Poaceae;n.i.;unknown
Macfadyen_A10;Diptera;n.i.;n.i.;ukD39;Fabaceae;Trifolium;spp.
Macfadyen_A10;Diptera;n.i.;n.i.;ukD5;Geraniaceae;Geranium;robertianum
Macfadyen_A10;Diptera;n.i.;n.i.;ukD9;Plantaginaceae;Plantago;major
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL143;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL148;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL155;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;n.i.;n.i.;UKL156;Sapindaceae;Acer;campestre
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL200;Sapindaceae;Acer;campestre
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL201;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL201;Rosaceae;Prunus;spinosa
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL202;Rosaceae;Crataegus;monogyna
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL204;Betulaceae;Corylus;avellana
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL204;Fagaceae;Quercus;robur
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL207;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL209;Urticaceae;Urtica;dioica
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL228;Rosaceae;Rubus;fruticosus
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL229;Asteraceae;Cirsium;arvense
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL31;Ranunculaceae;Ranunculus;repens
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL74;Euphorbiaceae;Mercurialis;perennis
Macfadyen_A10;Lepidoptera;n.i.;n.i.;ukL74;Urticaceae;Urtica;dioica
